condition,condition_label,fold,patient_id,structure,present,dice,iou,sensitivity,precision,hd95,assd,cldice,cc_error,centerline_overlap,n_components_pred,n_components_gt
cldice,+clDice (connectivity-aware vessel),3,18,liver,1,0.8732739678791498,0.7750543991917676,0.8281030478410902,0.9236571201008861,50.21603307155968,6.25353154736935,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),3,18,tumour,1,1.4114226434534689e-05,7.0571630204657725e-06,0.00015792798483891344,7.387215684536341e-06,203.4969287237525,106.38608009022839,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),3,18,vessel,1,0.007764379246220642,0.0038973197574305608,1.0,0.0038973197574305608,190.9633472685269,114.73204171640586,0.0,14.0,1.0,1.0,15.0
cldice,+clDice (connectivity-aware vessel),4,01,liver,1,0.9287249467690782,0.866934167810668,0.9345091222338378,0.9230119335382493,57.41950887982237,4.832161673906182,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),4,01,tumour,1,0.008285196460935477,0.004159830737921698,0.004163451357608169,0.8270944741532977,29.942439440500035,14.770619773089788,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),4,01,vessel,1,0.02114603265860102,0.01068599957732648,1.0,0.01068599957732648,136.11024943037904,82.56632861518186,0.0,4.0,1.0,1.0,5.0
cldice,+clDice (connectivity-aware vessel),4,04,liver,1,0.8631524685432491,0.7592508622833615,0.968729166132465,0.7783267310860584,130.26511428621248,15.890250927533447,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),4,04,tumour,1,0.013280551653684075,0.006684663838539658,0.006989247311827957,0.1329923273657289,98.53561510327745,17.941435623235844,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),4,04,vessel,1,0.023484917197218465,0.011881982283644333,1.0,0.011881982283644333,172.3890947827037,98.61609661227573,0.0,15.0,1.0,1.0,16.0
cldice,+clDice (connectivity-aware vessel),4,09,liver,1,0.8523325584911365,0.7426651028546705,0.9350841673353196,0.7830366149449535,111.93770588614142,13.604173621591224,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),4,09,tumour,1,0.0023625147657172856,0.0011826544021024967,0.0012026056455653918,0.066543438077634,171.25784645623804,25.743959561333178,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),4,09,vessel,1,0.023877406583557657,0.012082958143946387,1.0,0.012082958143946387,221.59873645849157,127.63429754943105,0.5,19.0,1.0,1.0,20.0
cldice,+clDice (connectivity-aware vessel),4,19,liver,1,0.8028878958713462,0.6706873091520088,0.7821381897092622,0.8247685629426548,132.4743371241172,18.368895296908956,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),4,19,tumour,1,0.008282776909942965,0.00415861087805056,0.004162204264433843,0.8280871670702179,130.66368506247957,27.099735419495094,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),4,19,vessel,1,0.007052650572601562,0.003538804261250498,1.0,0.003538804261250498,268.6708022841336,167.3721435757978,0.0,9.0,1.0,1.0,10.0
constraints,+Constraints (containment + exclusion),0,03,liver,1,0.7993475322883336,0.665760953968484,0.8872334572535587,0.7273036384586564,97.51410154434076,17.968338680355398,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),0,03,tumour,1,0.12742758473507557,0.06804948299799002,0.47001574352368686,0.07370500044887333,120.50933572008574,49.91528474622143,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),0,03,vessel,1,0.4226893269005423,0.26798102245130084,0.5761558035271698,0.333782171141218,42.649736224272246,8.502995885688405,0.45792072286592844,169.0,0.5051515151515151,218.0,49.0
constraints,+Constraints (containment + exclusion),0,10,liver,1,0.9005660440412687,0.8191179098665865,0.963122378417416,0.8456403544699101,97.33524539772682,11.391567899967162,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),0,10,tumour,1,0.5188935016521223,0.35034178989217174,0.9383330779837598,0.35859827858773935,45.83666654546336,10.836048681987448,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),0,10,vessel,1,0.4410932837994395,0.2829504031354053,0.8035750079588733,0.3039745230884511,75.9670981412348,13.332695540725117,0.5312177413986392,140.0,0.7848675034867504,155.0,15.0
constraints,+Constraints (containment + exclusion),0,14,liver,1,0.8658475553854478,0.76343137070935,0.9610141416467732,0.7878308354326511,67.23838189605696,9.041285015907086,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),0,14,tumour,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
